,date,adj. close,close,vol
196,2017-07-14,200.0803,216.2600,8820518
197,2017-07-07,198.0356,214.0500,7559554
198,2017-06-30,197.2862,213.2400,15204992
199,2017-06-23,197.7488,213.7400,10038766
200,2017-06-16,197.5823,213.5600,16476067
201,2017-06-09,196.3965,212.6700,11865336
202,2017-06-02,195.6946,211.9100,6786082
203,2017-05-26,194.4295,210.5400,12537316
204,2017-05-19,191.8714,207.7700,20829186
205,2017-05-12,192.4534,209.0100,9944662
206,2017-05-05,193.1532,209.7700,9388942
207,2017-04-28,192.5178,209.0800,13454817
208,2017-04-21,188.9912,205.2500,15273780
209,2017-04-13,188.0140,204.3700,11693538
210,2017-04-07,189.8631,206.3800,16897293
211,2017-03-31,189.8263,206.3400,17450300
212,2017-03-24,189.2835,205.7500,21292142
213,2017-03-17,192.1446,208.8600,18323402
214,2017-03-10,192.0361,209.1500,15872880
215,2017-03-03,192.7340,209.9100,20027574
216,2017-02-24,190.9160,207.9300,12214888
217,2017-02-17,189.0337,205.8800,20207351
218,2017-02-10,185.6452,202.7400,14036556
219,2017-02-03,183.4842,200.3800,20520954
220,2017-01-27,183.7131,200.6300,20912469
221,2017-01-20,181.2683,197.9600,18014674
222,2017-01-13,181.7687,198.7000,17876664
223,2017-01-06,182.5096,199.5100,19940070
224,2016-12-30,180.6801,197.5100,13454900
225,2016-12-23,182.0888,199.0500,11940519
226,2016-12-16,181.3021,198.1900,27104939
227,2016-12-09,180.4510,197.6900,24260663
228,2016-12-02,175.0198,191.7400,21296600
229,2016-11-25,174.6182,191.3000,9768327
230,2016-11-18,172.0258,188.4600,20575906
231,2016-11-11,171.5498,188.4700,28955634
232,2016-11-04,162.6660,178.7100,14895030
233,2016-10-28,165.0781,181.3600,16385868
234,2016-10-21,164.9507,181.2200,12993525
235,2016-10-14,164.8503,181.2900,13907269
236,2016-10-07,165.6960,182.2200,11512943
237,2016-09-30,166.2052,182.7800,20729474
238,2016-09-23,165.8779,182.4200,12819667
239,2016-09-16,164.5593,180.9700,24354655
240,2016-09-09,164.1833,180.9100,14428381
241,2016-09-02,167.7681,184.8600,11629569
242,2016-08-26,166.8243,183.8200,12122252
243,2016-08-19,168.1856,185.3200,11068155
244,2016-08-12,168.1167,185.9000,10302438
245,2016-08-05,167.5379,185.2600,18000133
246,2016-07-29,166.5160,184.1300,18321345
247,2016-07-22,167.7640,185.5100,12256706
248,2016-07-15,167.1942,184.8800,15069093
249,2016-07-08,163.8373,181.3000,16149106
250,2016-07-01,162.0390,179.3100,27978163
251,2016-06-24,156.8970,173.6200,22106268
252,2016-06-17,159.5177,176.5200,19546610
253,2016-06-10,161.1725,178.7100,12274447
254,2016-06-03,160.5862,178.0600,11209739
255,2016-05-27,160.9831,178.5000,11154321
256,2016-05-20,157.6101,174.7600,17683336
257,2016-05-13,157.7075,175.4800,13357847
258,2016-05-06,159.3791,177.3400,15271969
259,2016-04-29,159.6038,177.5900,17342560
260,2016-04-22,161.6798,179.9000,13365490
261,2016-04-15,160.5834,178.6800,19716002
262,2016-04-08,157.7545,175.6600,19662530
263,2016-04-01,159.6045,177.7200,19731588
264,2016-03-24,157.1079,174.9400,17009124
265,2016-03-18,157.7814,175.6900,17827679
266,2016-03-11,154.3448,172.2300,18192572
267,2016-03-04,152.3643,170.0200,16998597
268,2016-02-26,149.0127,166.2800,26572227
269,2016-02-19,146.7006,163.7000,20883558
270,2016-02-12,142.8323,159.9800,54912109
271,2016-02-05,144.5823,161.9400,49135869
272,2016-01-29,146.7518,164.3700,36645778
273,2016-01-22,143.5555,160.7900,50842795
274,2016-01-15,142.5645,159.6800,73692029
275,2016-01-08,145.6646,163.2400,60390370
276,2015-12-31,155.2572,173.9900,17761413
277,2015-12-24,156.3547,175.2200,20692153
278,2015-12-18,152.5891,171.0000,51098100
279,2015-12-11,153.7664,172.7300,36591304
280,2015-12-04,158.8317,178.4200,30322168
281,2015-11-27,158.3688,177.9000,12072512
282,2015-11-20,158.5112,178.0600,31066892
283,2015-11-13,153.1664,172.6100,29835798
284,2015-11-06,158.9609,179.1400,27984629
285,2015-10-30,156.6094,176.4900,27094837
286,2015-10-23,156.5029,176.3700,30998136
287,2015-10-16,152.5187,171.8800,32160099
288,2015-10-09,151.4547,170.7600,35002244
289,2015-10-02,145.9734,164.5800,46280989
290,2015-09-25,144.4656,162.8800,40223453
291,2015-09-18,145.0510,163.5400,41293753
292,2015-09-11,145.5127,164.3900,29216680
293,2015-09-04,142.4855,160.9700,45565996
294,2015-08-28,147.1768,166.2700,97674320
295,2015-08-21,145.5835,164.4700,50260859
296,2015-08-14,154.2730,174.8700,30165694
297,2015-08-07,153.3290,173.8000,24684183
298,2015-07-31,155.9139,176.7300,23314800
299,2015-07-24,154.8641,175.5400,21359729
300,2015-07-17,159.2752,180.5400,15296250
301,2015-07-10,156.3649,177.4100,27467607
302,2015-07-02,156.0740,177.0800,26182126
303,2015-06-26,157.8808,179.1300,19952241
304,2015-06-19,158.4097,179.7300,22937313
305,2015-06-12,157.4601,179.1300,22865374
306,2015-06-05,156.9063,178.5000,27478387
307,2015-05-29,158.3215,180.1100,17702347
308,2015-05-22,160.2114,182.2600,15819122
309,2015-05-15,160.4048,182.4800,21791321
310,2015-05-08,159.4991,181.8500,25779692
311,2015-05-01,157.7887,179.9000,28523002
312,2015-04-24,158.3501,180.5400,23430616
313,2015-04-17,156.0696,177.9400,25104689
314,2015-04-10,158.0957,180.3700,24982328
315,2015-04-02,155.4311,177.3300,20697223
316,2015-03-27,154.9753,176.8100,27337007
317,2015-03-20,158.6129,180.9600,34465801
318,2015-03-13,155.3656,177.5600,26357818
319,2015-03-06,156.1006,178.4000,19567197
320,2015-02-27,158.5418,181.1900,15997342
321,2015-02-20,158.4981,181.1400,17153871
322,2015-02-13,157.3723,180.3400,20211266
323,2015-02-06,155.4088,178.0900,36166687
324,2015-01-30,149.6145,171.4500,45722324
325,2015-01-23,153.9428,176.4100,27843827
326,2015-01-16,152.4244,174.6700,43325048
327,2015-01-09,154.5185,177.2200,36191867
328,2015-01-02,155.1462,177.9400,14995772
329,2014-12-26,157.1080,180.1900,17649222
330,2014-12-19,154.8934,177.6500,55238442
331,2014-12-12,150.5142,173.0000,40287074
332,2014-12-05,156.1780,179.5100,30659245
333,2014-11-28,154.9513,178.1000,14962245
334,2014-11-21,154.6033,177.7000,20065750
335,2014-11-14,153.0426,176.3500,19000574
336,2014-11-07,152.3744,175.5800,28348922
337,2014-10-31,150.5259,173.4500,33105969
338,2014-10-24,145.5706,167.7400,34961598
339,2014-10-17,141.8475,163.4500,83390569
340,2014-10-10,143.2500,165.2100,47449396
341,2014-10-03,147.1605,169.7200,36380057
342,2014-09-26,148.0103,170.7000,31212555
343,2014-09-19,149.5277,172.4500,35382775
344,2014-09-12,146.9649,169.9000,20021052
345,2014-09-05,148.1327,171.2500,13471334
346,2014-08-29,147.8127,170.8800,17396635
347,2014-08-22,146.9390,169.8700,16948014
348,2014-08-15,143.8942,166.3500,21665033
349,2014-08-08,142.7665,165.3400,28087242
350,2014-08-01,142.1017,164.5700,29218570
351,2014-07-25,146.0650,169.1600,18240978
352,2014-07-18,147.2911,170.5800,24275990
353,2014-07-11,145.9435,169.2000,19691337
354,2014-07-03,147.0390,170.4700,15407456
355,2014-06-27,145.0551,168.1700,18394511
356,2014-06-20,145.8400,169.0800,19095236
357,2014-06-13,144.3025,167.6200,16727077
358,2014-06-06,145.5594,169.0800,20382428
359,2014-05-30,143.7085,166.9300,11778355
360,2014-05-23,142.7615,165.8300,19060652
361,2014-05-16,141.7112,164.6100,24295529
362,2014-05-09,142.3030,165.7200,25147917
363,2014-05-02,141.4700,164.7500,27710618
364,2014-04-25,140.2679,163.3500,19800951
365,2014-04-17,140.6113,163.7500,26427472
366,2014-04-11,137.2973,160.0200,41623475
367,2014-04-04,140.6092,163.8800,31052247
368,2014-03-28,139.7255,162.8500,30715357
369,2014-03-21,139.5367,162.6300,35919693
370,2014-03-14,137.5990,160.6500,32583232
371,2014-03-07,140.7595,164.3400,34109181
372,2014-02-28,139.6289,163.0200,33133312
373,2014-02-21,137.7360,160.8100,25520374
374,2014-02-14,138.0311,161.5900,28760473
375,2014-02-07,134.7765,157.7800,64629315
376,2014-01-31,133.8967,156.7500,55456186
377,2014-01-24,135.3745,158.4800,39539478
378,2014-01-17,140.1580,164.0800,38992497
379,2014-01-10,140.1296,164.1800,38017695
380,2014-01-03,140.3088,164.3900,25135950
381,2013-12-27,140.3771,164.4700,18603642
382,2013-12-20,138.2775,162.0100,44419991
383,2013-12-13,134.2292,157.6500,31895097
384,2013-12-06,136.3663,160.1600,33638014
385,2013-11-29,136.8431,160.7200,19516229
386,2013-11-22,136.5707,160.4000,27707952
387,2013-11-15,135.6341,159.3000,26382483
388,2013-11-08,133.8428,157.4900,34703422
389,2013-11-01,132.4576,155.8600,30905416
390,2013-10-25,132.1091,155.4500,26267536
391,2013-10-18,130.5369,153.6000,40888020
392,2013-10-11,129.1785,152.1700,48484923
393,2013-10-04,127.7014,150.4300,44750409
394,2013-09-27,129.2125,152.2100,33081877
395,2013-09-20,130.9867,154.3000,37687317
396,2013-09-13,130.2125,153.6900,29747545
397,2013-09-06,126.3152,149.0900,25030328
